id,web_name,full_name,team,team_short,pos,price,cost_change_event,cost_change_start,selected_by_percent,total_points,form,points_per_game,minutes,starts,goals_scored,assists,clean_sheets,saves,bonus,bps,defensive_contribution,expected_goals,expected_assists,expected_goals_conceded,ep_next,status,chance_next,news,news_added,transfers_in_event,transfers_out_event
367,Gakpo,Cody Gakpo,Liverpool,LIV,MID,7.2,0.1,0.2,13.1,28,9.3,9.3,250,3,1,3,1,0,5,97,25,0.36,1.20,4.56,7.0,d,75,Thigh injury - 75% chance of playing,2026-09-09T18:30:08.772955Z,637781,222891
426,B.Fernandes,Bruno Borges Fernandes,Man Utd,MUN,MID,12.0,0.0,0.0,43.6,27,9.0,9.0,270,3,3,1,0,0,3,116,16,2.25,0.80,4.08,9.0,a,,,,105268,551794
572,Tzolakis,Konstantinos Tzolakis,Hull City,HUL,GKP,4.6,0.0,0.1,9.8,26,8.7,8.7,270,3,0,0,3,9,6,98,0,0.00,0.00,5.05,8.7,a,,,,203767,54378
279,Ajayi,Semi Ajayi,Hull City,HUL,DEF,4.1,0.0,0.1,12.2,25,8.3,8.3,243,3,1,0,3,0,2,80,20,0.52,0.00,4.08,8.3,a,100,,2026-08-22T17:30:07.668197Z,293220,63340
399,Cherki,Rayan Cherki,Man City,MCI,MID,7.8,0.1,0.3,29.5,25,8.3,8.3,173,2,2,2,1,0,4,111,6,0.56,1.35,1.62,8.3,a,,,,271443,348653
411,Haaland,Erling Haaland,Man City,MCI,FWD,15.5,0.0,0.0,71.2,24,8.0,8.0,270,3,3,0,1,0,6,106,15,2.46,0.50,2.68,8.0,a,,,,146229,106112
586,Mendy,Nobel Mendy,Hull City,HUL,DEF,4.1,0.1,0.1,8.0,24,8.0,8.0,191,3,1,0,2,0,1,66,32,0.32,0.00,3.76,8.0,a,100,,2026-08-22T17:30:08.045208Z,272632,56421
69,Scott,Alex Scott,Bournemouth,BOU,MID,6.1,0.1,0.1,5.6,24,8.0,8.0,266,3,1,2,1,0,5,93,37,0.33,0.30,4.67,8.0,a,,,,321977,47692
15,Ødegaard,Martin Ødegaard,Arsenal,ARS,MID,6.7,0.1,0.2,17.2,24,8.0,8.0,221,3,2,0,2,0,6,101,16,1.01,1.05,0.66,8.0,a,,,,627905,93885
277,Egan,John Egan,Hull City,HUL,DEF,4.1,0.1,0.1,6.3,23,7.7,7.7,270,3,0,0,3,0,1,70,41,0.00,0.00,5.05,7.7,a,,,,196138,58322
379,Isak,Alexander Isak,Liverpool,LIV,FWD,9.1,0.1,0.1,22.9,23,7.7,7.7,243,3,3,0,1,0,5,97,5,2.29,0.06,4.46,7.7,a,,,,593882,85339
330,Bogle,Jayden Bogle,Leeds,LEE,DEF,4.5,0.0,0.0,1.9,22,7.3,7.3,217,3,1,0,2,0,3,63,12,0.90,0.03,1.64,7.3,a,,,,97039,18756
